observationTime,rf_prediction,actual,ECMWF,xgb_predicted,SSA-LSTM,ensemble_xgb_pred
2025-12-17,0.245,0.0,0.0,0.047185764,0.0,0.20688091
2025-12-18,0.026,0.0,0.04337222,0.15230823,0.3943891636549956,0.20688091
2025-12-19,0.1849999999999999,0.0,0.06572598,0.10696144,0.2201992533068656,0.20688091
2025-12-20,0.8090000000000005,0.5,1.0667645,0.74413186,0.0746758495089455,0.26343042
2025-12-21,0.3269999999999998,0.0,0.22927022,0.12420744,0.1652301440263703,0.20688091
2025-12-22,0.3139999999999999,0.0,0.19727615,0.2004985,0.0360394801249444,0.20688091
2025-12-23,0.9050000000000002,0.1,0.4096598,0.33383045,0.0,0.20688091
2025-12-24,0.2389999999999999,0.0,0.028736591,0.10078528,0.0765171201329651,0.20688091
2025-12-25,0.1799999999999999,0.0,0.007629454,4.3927135,0.0,0.37925324
2025-12-26,0.364,0.1,0.064062566,0.12154351,0.1672118202847943,0.20688091
2025-12-27,1.0939999999999996,1.2,0.87497604,0.6708969,0.7020265004345208,0.26343042
2025-12-28,2.7,1.8,3.3977323,2.6854408,1.395247222706233,1.735353
2025-12-29,1.1720000000000006,1.88699973499411,1.1092203,1.097526,1.0278373653525907,0.26343042
2025-12-30,3.222000000000001,1.8,1.356245,1.3949715,2.608298292052138,1.3068495
2025-12-31,0.5899999999999995,0.7903882622320348,0.08264911,0.292942,1.495354664049708,0.55407226
2026-01-01,5.710999999999998,4.2,5.9489202,5.186808,3.415564894694,9.527453
2026-01-02,3.892,5.6,4.436115,3.3916864,4.100127246499083,6.512499
2026-01-03,5.063999999999998,0.9,6.077842,4.7307177,2.328880256970285,4.0045385
2026-01-04,3.161000000000001,0.9,1.9123182,1.5472893,2.0659890872447657,1.7105882
2026-01-05,1.291,0.0,0.48576295,0.5510165,0.823312893751655,0.20688091
2026-01-06,1.339,2.1,1.3377421,1.2642992,0.8537985112562192,0.26343042
2026-01-07,0.1979999999999999,0.0,0.12791848,0.06541636,0.1847928757077411,0.20688091
2026-01-08,0.2259999999999999,0.0,0.20159785,0.11242355,0.5095762656065228,0.20688091
2026-01-09,3.738999999999999,8.9,4.2176213,3.6996162,3.8530600183138,5.923604
2026-01-10,2.630999999999999,0.5,2.2078428,1.9358573,1.1645937304524725,1.4381623
2026-01-11,1.318,0.1,0.7975371,0.8985975,0.0,0.20688091
2026-01-12,1.6760000000000006,0.0,0.5202708,0.71648455,0.0,0.20688091
2026-01-13,0.3669999999999999,0.4,0.3914504,0.48698387,0.0030780604612891,0.20688091
2026-01-14,0.087,0.0,0.0523659,0.13732307,0.0,0.20688091
2026-01-15,0.133,0.0,0.0822601,0.061476737,0.0,0.20688091
2026-01-16,0.448,0.0,0.017039657,0.045205668,0.9346630892031642,0.20688091
2026-01-17,0.5240000000000001,0.0,0.0,0.0,0.0953402190514319,0.20688091
2026-01-18,0.7649999999999996,0.0,0.10588874,0.0,0.0,0.20688091
2026-01-19,0.8539999999999996,0.0,0.061775833,0.012641038,0.4439130383217333,0.20688091
2026-01-20,0.5299999999999999,0.0,0.0,0.012792754,0.0,0.20688091
2026-01-21,0.7809999999999997,0.0,0.030517578,0.01921066,0.3736281468494811,0.20688091
2026-01-22,0.5559999999999998,0.0,0.18380526,0.0,0.0,0.20688091
2026-01-23,0.665,0.0,0.19750613,0.11026431,0.157588897906823,0.20688091
2026-01-24,0.3600000000000001,0.0,0.0850282,0.046707265,0.0255377024451369,0.20688091
2026-01-25,0.263,0.0,0.2491838,0.16234215,0.2542044797520335,0.20688091
2026-01-26,1.1369999999999991,1.9,2.2563994,1.2266692,0.9799863445998084,0.90084577
2026-01-27,3.763000000000001,3.8,5.0371113,3.6147392,3.0765991356928843,4.6163807
2026-01-28,4.277000000000001,6.0,5.7039537,3.8189492,3.662335894914935,6.637373
2026-01-29,1.372,0.0,0.6691122,0.8650181,0.5541635926940947,0.20688091
2026-01-30,0.1689999999999999,0.0,0.035325944,0.11719431,0.0418750585780049,0.20688091
