observationTime,rf_prediction,actual,ECMWF,xgb_predicted,ensemble_rf_pred
2024-02-02,4.748999999999996,0.5,6.074154,5.1479783,
2024-02-03,1.195,3.4000000000000004,2.074088,1.3907126,
2024-02-04,3.380999999999999,6.5,3.84731,3.0992777,
2024-02-05,3.576,6.2,4.7991076,4.224149,
2024-02-06,8.456000000000001,2.8,8.335825,7.5955973,
2024-02-07,2.769,7.4,2.6900911,2.1142664,
2024-02-08,0.074,0.0,0.07622337,0.17522427,
2024-02-09,0.2080000000000001,0.0,0.13666962,0.26650414,
2024-02-10,0.408,0.2,0.6503565,0.8309268,
2024-02-11,2.4149161648777424,0.5,3.5317202,2.5456467,
2024-02-12,1.7119580824388705,0.5,1.8576199,1.5084001,
2024-02-13,0.6829999999999999,0.3999999999999999,0.8275362,0.956005,
2024-02-14,0.523,0.0,0.28944707,0.4158274,
2024-02-15,0.6330000000000002,0.3,1.0823988,0.7332081,
2024-02-16,0.7200000000000003,0.0,1.3902049,1.0074291,
2024-02-17,1.9530000000000003,2.7,2.3755968,1.9015828,
2024-02-18,0.0929999999999999,0.1,0.0017809868,0.14285202,
2024-02-19,0.256,0.0,0.24795395,0.14602166,
2024-02-20,3.346568695351208,1.9,3.4326496,2.3362145,
2024-02-21,3.164000000000001,2.4000000000000004,3.8835042,2.6537979,
2024-02-22,4.481999999999998,1.1,5.5699763,5.060084,
2024-02-23,3.7239999999999993,5.0,4.748333,3.7280416,
2024-02-24,0.811,1.9,0.7106545,0.7420442,
2024-02-25,0.944,0.0,0.89169955,0.9891641,
2024-02-26,1.0199999999999998,6.4,2.2250981,1.2997284,
2024-02-27,5.0360000000000005,8.1,9.998505,6.3156075,
2024-02-28,4.176000000000001,3.7,8.967644,5.3519907,
2024-02-29,0.3739999999999999,0.2,0.44077635,0.33549494,
2024-03-01,0.008,0.0,0.019443877,0.07604268,
2024-03-02,0.0069999999999999,0.0,0.0,0.07727839,
2024-03-03,0.03,0.0,0.018585712,0.02509256,
2024-03-04,0.041,0.0,0.20284891,0.004792995,
2024-03-05,0.0,0.0,0.0045877695,0.017945636,
2024-03-06,0.022,0.0,0.0,0.077486604,
2024-03-07,0.031,0.0,0.0,0.0252573,
2024-03-08,0.003,0.0,0.005848497,0.0,
2024-03-09,0.0069999999999999,0.0,0.0,0.0,
2024-03-10,0.009,0.0,0.0025215894,0.041191757,
2024-03-11,0.009,0.0,0.0,0.07643627,
2024-03-12,1.1299999999999997,0.6,3.2034478,1.2974039,
2024-03-13,0.144,0.0,0.5494238,0.32110137,
2024-03-14,0.017,0.0,0.014635533,0.032300055,
2024-03-15,0.055,0.0,0.0,0.038627274,
2024-03-16,0.244,2.7,0.41146255,0.2571052,
2024-03-17,1.1360000000000003,0.3,1.3447311,1.0437909,
2024-03-18,0.302,0.0,0.63125145,0.63093984,
2024-03-19,0.048,0.0,0.20966095,0.03424094,
2024-03-20,0.278,0.0,0.6167414,0.48253158,
2024-03-21,0.736,0.0,0.039393246,0.28831926,
2024-03-22,1.4789371236583058,0.5,2.7142186,1.4405954,
2024-03-23,1.0239580824388703,3.2,2.1622396,1.2819567,
2024-03-24,2.776522898450403,6.0,2.8685074,1.9735397,
2024-03-25,0.8520000000000003,0.8,0.8349905,0.92240864,
2024-03-26,0.423,0.0,0.5414829,0.51776975,
2024-03-27,0.002,0.0,0.0,0.1747837,
2024-03-28,3.606,0.1,4.540748,5.5187135,
2024-03-29,1.5109790412194355,0.7,2.1830401,1.340584,
2024-03-30,0.024,0.0,0.0,0.18154678,
2024-03-31,0.021,0.0,2.3841858e-07,0.7482024,
2024-04-01,0.2790000000000001,0.0,0.0648365,0.7797132,
2024-04-02,3.641000000000001,0.4,7.958274,4.5112453,
2024-04-03,4.305999999999998,3.4,4.9518223,5.336594,
2024-04-04,0.5860000000000001,0.5,0.5035057,0.6086155,
2024-04-05,5.981000000000002,2.5,6.0896792,4.855226,
2024-04-06,4.157999999999999,12.5,6.046164,5.4619584,
2024-04-07,0.017,0.0,0.004184723,2.4742196,
2024-04-08,0.149,0.0,0.1506654,0.0,
2024-04-09,0.1129999999999999,0.0,0.0,0.4206735,
2024-04-10,0.022,0.0,0.0,0.045018822,
2024-04-11,0.1079999999999999,0.0,0.09716642,0.115145884,
2024-04-12,0.5870000000000001,0.0,1.1331592,0.67644393,
2024-04-13,2.237,1.8,2.8025818,1.703157,
2024-04-14,2.866000000000001,2.7,4.579856,3.6050026,
2024-04-15,0.0899999999999999,0.0,0.011353016,0.23480222,
2024-04-16,8.031999999999998,6.2,7.727127,7.8010736,
2024-04-17,1.523,0.8,1.3253489,1.1317291,
2024-04-18,0.249,0.1,0.3760785,0.39687905,
2024-04-19,0.794,0.5,1.0173889,0.92102104,
2024-04-20,1.7180000000000004,4.9,3.4869409,2.116069,
2024-04-21,5.825000000000002,1.6,5.987462,4.6654325,
2024-04-22,16.163999999999994,25.6,17.158865,17.55985,
2024-04-23,0.8249999999999998,0.0,0.6330662,0.64033186,
2024-04-24,3.5720000000000005,9.4,4.3038125,3.893802,
2024-04-25,1.7645228984504022,5.8,3.5253363,2.8737154,
2024-04-26,0.8519999999999998,0.0,0.64019656,0.93243027,
2024-04-27,0.0919999999999999,0.0,0.10356939,0.21597922,
2024-04-28,0.953,0.0,0.37245226,0.74310416,
2024-04-29,0.0,0.0,0.002982974,0.050914437,
2024-04-30,0.0,0.0,0.0,0.10670447,
2024-05-01,0.0,0.0,0.0,0.023195442,
2024-05-02,0.0,0.0,0.0,0.0,
2024-05-03,0.0,0.0,0.0,0.11637194,
2024-05-04,0.0,0.0,0.22866476,0.03450504,
2024-05-05,0.0819999999999999,0.0,0.42938483,0.4152883,
2024-05-06,2.524000000000001,3.4000000000000004,8.760599,4.6489987,
2024-05-07,1.0659999999999998,0.0,1.2098017,1.4417311,
2024-05-08,0.0,0.0,0.0,0.22700955,
2024-05-09,0.9380000000000004,0.5,1.3910613,0.92316943,
2024-05-10,2.179501939669838,3.6,3.8723664,2.3141482,
2024-05-11,0.1009999999999999,0.0,0.0,0.11224537,
2024-05-12,0.0539999999999999,0.0,0.0,0.040005594,
2024-05-13,0.004,0.0,0.0,0.10567997,
2024-05-14,0.543,0.0,0.41912222,0.22596416,
2024-05-15,0.006,0.0,0.012348831,0.053773716,
2024-05-16,0.0,0.0,0.0,0.09029442,
2024-05-17,0.0,0.0,0.0,0.011912287,
2024-05-18,1.5049999999999994,1.3,2.389474,3.4024835,
