time,absorbing_aerosol_index
2018-07,0.7525494035943268
2018-08,0.87128421079578
2018-09,0.8395304908547643
2018-10,0.8536131528170208
2018-11,0.8689180600102135
2018-12,0.8518442665689964
2019-01,0.8343963391478519
2019-02,0.8633776018767756
2019-03,0.8394939451977443
2019-04,0.8120264899600871
2019-05,0.8308881394041596
2019-06,0.7418628408139682
2019-07,0.8005314793311432
2019-08,0.8483828464187557
2019-09,0.8705542250627064
2019-10,0.850206559193763
2019-11,0.8518775694651104
2019-12,0.8360868881253763
2020-01,0.8865874511693379
2020-02,0.8433555938830954
2020-03,0.8479536962723154
2020-04,0.8588865605264029
2020-05,0.815751447094956
2020-06,0.733025695331022
2020-07,0.7951374151066503
2020-08,0.8583840782137803
2020-09,0.8408194698213289
2020-10,0.8530196677555548
2020-11,0.8623291025235276
2020-12,0.8528194445504235
2021-01,0.8558085660000153
2021-02,0.8452247903096033
2021-03,0.8481621091382028
2021-04,0.8433595170783321
2021-05,0.8031517092503105
2021-06,0.7606312293843293
2021-07,0.7886698210445214
2021-08,0.8482709247018344
2021-09,0.8667755204011528
2021-10,0.8542275247264831
2021-11,0.8438029048044176
2021-12,0.8367173808815263
2022-01,0.8665731675988595
2022-02,0.8340458047391882
2022-03,0.8499428367596208
2022-04,0.8707514634109218
2022-05,0.7564863371571224
2022-06,0.7524326731254616
2022-07,0.8069032386961388
2022-08,0.8618706426661987
2022-09,0.8435910789273551
2022-10,0.8573335151935985
2022-11,0.8592824165922692
2022-12,0.8353192674688559
2023-01,0.8450548536651106
2023-02,0.8864380633272608
2023-03,0.848738551069669
2023-04,0.8436452236881262
2023-05,0.8232754303666869
2023-06,0.7226871002885287
2023-07,0.7961500577714875
2023-08,0.8455851195063575
2023-09,0.8586175933273815
2023-10,0.847625546207036
2023-11,0.84281150783231
2023-12,0.8610881602608613
2024-01,0.864930575161703
2024-02,0.8401432269584111
2024-03,0.8482173185079642
2024-04,0.8725106531276554
2024-05,0.8062644540010231
2024-06,0.7594744729850375
2024-07,0.7624967393740333
2024-08,0.8521686639804882
2024-09,0.841018753388558
2024-10,0.8481017896452873
2024-11,0.8638593529973354
2024-12,0.8425795845319579
2025-01,0.8321771429201248
2025-02,0.8639257046174574
2025-03,0.8485885539253262
2025-04,0.8436818024005555
2025-05,0.8718071674988151
2025-06,0.7343518345285048
2025-07,0.7697347376660012
2025-08,0.8480900664215811
2025-09,0.8715859737186987
2025-10,0.8502958360512174
2025-11,0.8411231524650333
2025-12,0.8486072047187014
2026-01,0.8440555602186393
2026-02,0.8231700626058867
2026-03,0.9962128977504436
