time,SO2_column_number_density,SO2_column_number_density_amf,SO2_slant_column_number_density,SO2_column_number_density_15km
2019-03,0.2818803879055838,0.2818803879055838,0.2818803879055838,0.921757195289583
2019-04,0.6213451831128313,0.6213451831128313,0.6213451831128313,0.8549521755139304
2019-05,0.4258505016470414,0.4258505016470414,0.4258505016470414,0.9114772528313014
2019-06,0.7001958453466809,0.7001958453466809,0.7001958453466809,0.8689813602714189
2019-07,0.40211107235691973,0.40211107235691973,0.40211107235691973,0.8632067351229237
2019-08,0.5950773181672895,0.5950773181672895,0.5950773181672895,0.8889815687376694
2019-09,0.40989184881372454,0.40989184881372454,0.40989184881372454,0.9352014667587101
2019-10,0.08610504910227161,0.08610504910227161,0.08610504910227161,0.8809344311080249
2019-11,,,,
2019-12,,,,
2020-01,,,,
2020-02,,,,
2020-03,0.39876886111386656,0.39876886111386656,0.39876886111386656,0.8985018178153781
2020-04,0.4195601185949366,0.4195601185949366,0.4195601185949366,0.886634482910646
2020-05,0.43696896191749945,0.43696896191749945,0.43696896191749945,0.8679561268014794
2020-06,0.5305303544025632,0.5305303544025632,0.5305303544025632,0.8747003913112531
2020-07,0.3028829444462815,0.3028829444462815,0.3028829444462815,0.8833897283852646
2020-08,0.3938413998130296,0.3938413998130296,0.3938413998130296,0.8947951892699438
2020-09,0.4872959693152135,0.4872959693152135,0.4872959693152135,0.9132385014714148
2020-10,0.1894405316932844,0.1894405316932844,0.1894405316932844,0.9761316668319941
2021-03,0.1699741616714139,0.1699741616714139,0.1652775187646728,1.0
2021-04,0.1801606983434183,0.1801606983434183,0.1801606983434183,0.9459333940536204
2021-05,0.2481078428130833,0.2481078428130833,0.2481078428130833,0.9009405514677516
2021-06,0.46415710522545167,0.46415710522545167,0.46415710522545167,0.894658598683993
2021-07,0.42451540372445556,0.42451540372445556,0.4174604417667188,0.8956839919234842
2021-08,0.19116426178721585,0.19116426178721585,0.19116426178721585,0.8807141639896325
2021-09,0.29422742452798994,0.29422742452798994,0.29422742452798994,0.9060273121052806
2021-10,0.13615630063155112,0.13615630063155112,0.13615630063155112,0.9802012035843005
2022-03,0.45051057449154613,0.45051057449154613,0.45051057449154613,0.9096979681967371
2022-04,0.3160760956817157,0.3160760956817157,0.3160760956817157,0.9164813239708715
2022-05,0.26939870383229175,0.26939870383229175,0.26939870383229175,0.8862100320735378
2022-06,0.4047708982081739,0.4047708982081739,0.4047708982081739,0.9253714196057686
2022-07,0.3690370727106161,0.3690370727106161,0.3768375212462317,0.8926757958864392
2022-08,0.5557555840701073,0.5557555840701073,0.5557555840701073,0.8971417539435946
2022-09,0.2644163755065451,0.2644163755065451,0.2644163755065451,0.9243402513712998
2022-10,0.1341787080205888,0.1341787080205888,0.1341787080205888,1.0
2022-11,,,,
2022-12,,,,
2023-01,,,,
2023-02,,,,
2023-03,0.1890675650686232,0.1890675650686232,0.1890675650686232,0.9698435266930455
2023-04,0.3184605118706544,0.3184605118706544,0.3184605118706544,0.8977112003416584
2023-05,0.48487368715520685,0.48487368715520685,0.48487368715520685,0.8890196813220322
2023-06,0.45925820066500883,0.45925820066500883,0.45925820066500883,0.8911865863903512
2023-07,0.33443674542218954,0.33443674542218954,0.33443674542218954,0.8783439928925432
2023-08,0.3453468020147914,0.3453468020147914,0.3453468020147914,0.8826036879057413
2023-09,0.5552489205253539,0.5552489205253539,0.5552489205253539,0.9036147435656241
2023-10,0.1684907802356468,0.1684907802356468,0.1684907802356468,0.9363654399365142
2024-03,0.23158664814998514,0.23158664814998514,0.23158664814998514,0.9686474969414409
2024-04,0.2638858578844691,0.2638858578844691,0.2638858578844691,0.9239203361859843
2024-05,0.5539247938691139,0.5539247938691139,0.5539247938691139,0.8927105744019886
2024-06,0.39464315651410703,0.39464315651410703,0.39464315651410703,0.9160493569339809
2024-07,0.3432593652235605,0.3432593652235605,0.3432593652235605,0.8633485144597765
2024-08,0.45854140600917515,0.45854140600917515,0.45854140600917515,0.904983717906463
2024-09,0.4158758751085901,0.4158758751085901,0.4158758751085901,0.903846945799629
2024-10,0.07413947029064577,0.07413947029064577,0.07413947029064577,0.9980259894851702
2024-11,,,,
2024-12,,,,
2025-01,,,,
2025-02,,,,
2025-03,0.40411606161035785,0.40411606161035785,0.40411606161035785,0.9541227171025803
2025-04,0.4314752882603295,0.4314752882603295,0.4314752882603295,0.89151491962721
2025-05,0.29277922898595454,0.29277922898595454,0.29277922898595454,0.9223772626907238
2025-06,0.3634978011440664,0.3634978011440664,0.3634978011440664,0.938161293522468
2025-07,0.3261025437545623,0.3261025437545623,0.3261025437545623,0.9099695034324535
2025-08,0.30665672568325597,0.30665672568325597,0.30665672568325597,0.8953715762538492
2025-09,0.37499044406970206,0.37499044406970206,0.37499044406970206,0.934923784016136
2025-10,0.2868829150547234,0.2868829150547234,0.2868829150547234,0.8304744899646199
2025-11,,,,
2025-12,,,,
2026-01,,,,
2026-02,,,,
2026-03,0.03689779453096584,0.03689779453096584,0.03689779453096584,1.0
