time,CO_column_number_density,H2O_column_number_density
2018-07,0.324184882592842,0.324184882592842
2018-08,0.43504426268437785,0.43504426268437785
2018-09,0.4146900231580984,0.4146900231580984
2018-10,0.43383482679187463,0.43383482679187463
2018-11,0.48864628607048344,0.48864628607048344
2018-12,0.4394183854960864,0.4394183854960864
2019-01,0.4464054491948551,0.4464054491948551
2019-02,0.43870965182025584,0.43870965182025584
2019-03,0.4486443984516377,0.4486443984516377
2019-04,0.637675778574499,0.637675778574499
2019-04,0.637675778574499,0.5781997115878392
2019-04,0.5781997115878392,0.637675778574499
2019-04,0.5781997115878392,0.5781997115878392
2019-05,0.4472710932159887,0.4472710932159887
2019-06,0.6189969719845523,0.6189969719845523
2019-07,0.5662284646902463,0.5662284646902463
2019-08,0.5450315775551368,0.5450315775551368
2019-09,0.5169183848118377,0.5169183848118377
2019-10,0.4144501851387938,0.4144501851387938
2019-11,0.3716714611645669,0.3716714611645669
2019-12,0.31726273002632166,0.31726273002632166
2020-01,0.4857097510167642,0.4857097510167642
2020-01,0.4857097510167642,0.42204029712271773
2020-01,0.42204029712271773,0.4857097510167642
2020-01,0.42204029712271773,0.42204029712271773
2020-02,0.48065913018133366,0.48065913018133366
2020-03,0.4633549604138679,0.4633549604138679
2020-04,0.5414448055496244,0.5414448055496244
2020-05,0.5418136428264392,0.5418136428264392
2020-06,0.5425219563344816,0.5425219563344816
2020-07,0.5641356624246826,0.5641356624246826
2020-08,0.4878030327230786,0.4878030327230786
2020-09,0.49771134512205517,0.49771134512205517
2020-10,0.3322910686069103,0.3322910686069103
2020-10,0.3322910686069103,0.43893412080099914
2020-10,0.43893412080099914,0.3322910686069103
2020-10,0.43893412080099914,0.43893412080099914
2020-11,0.47590122348161185,0.47590122348161185
2020-12,0.41800908933931447,0.41800908933931447
2021-01,0.35360573068834267,0.35360573068834267
2021-02,0.4446796046364073,0.4446796046364073
2021-03,0.4736315415030725,0.4736315415030725
2021-04,0.45978368320055824,0.45978368320055824
2021-05,0.4627404232612391,0.4627404232612391
2021-06,0.6125038039338982,0.6125038039338982
2021-07,0.6208989848890651,0.6208989848890651
2021-07,0.6208989848890651,0.6255590825425168
2021-07,0.6255590825425168,0.6208989848890651
2021-07,0.6255590825425168,0.6255590825425168
2021-08,0.45362855948782077,0.45362855948782077
2021-09,0.5073783707898228,0.5073783707898228
2021-10,0.5278275850667068,0.5278275850667068
2021-11,0.47632047085275936,0.47632047085275936
2021-12,0.4553588045673581,0.4553588045673581
2022-01,0.5696983009055224,0.5696983009055224
2022-02,0.5395557422783948,0.5395557422783948
2022-03,0.7086447090395751,0.7086447090395751
2022-04,0.46354842162663223,0.46354842162663223
2022-05,0.557676156465959,0.557676156465959
2022-05,0.557676156465959,0.4580156289609717
2022-05,0.4580156289609717,0.557676156465959
2022-05,0.4580156289609717,0.4580156289609717
2022-06,0.5035427481841529,0.5035427481841529
2022-07,0.557782517166507,0.557782517166507
2022-08,0.5418853732851335,0.5418853732851335
2022-09,0.5505035876070496,0.5505035876070496
2022-10,0.46702164845702193,0.46702164845702193
2022-11,0.5157857072002494,0.5157857072002494
2022-12,0.3746968256310874,0.3746968256310874
2023-01,0.43896846887727137,0.43896846887727137
2023-02,0.6152465033230831,0.6152465033230831
2023-02,0.6152465033230831,0.4790846396441079
2023-02,0.4790846396441079,0.6152465033230831
2023-02,0.4790846396441079,0.4790846396441079
2023-03,0.4797882506885484,0.4797882506885484
2023-04,0.4398560168383222,0.4398560168383222
2023-05,0.5660388144167836,0.5660388144167836
2023-06,0.5574454960794575,0.5574454960794575
2023-07,0.5557745106170078,0.5557745106170078
2023-08,0.5114325077979477,0.5114325077979477
2023-09,0.5571143849759478,0.5571143849759478
2023-10,0.3745708349936139,0.3745708349936139
2023-11,0.41179207043636196,0.41179207043636196
2023-11,0.41179207043636196,0.5726026874623243
2023-11,0.5726026874623243,0.41179207043636196
2023-11,0.5726026874623243,0.5726026874623243
2023-12,0.4319723872992398,0.4319723872992398
2024-01,0.465118951586489,0.465118951586489
2024-02,0.4233713212288639,0.4233713212288639
2024-03,0.41162138589989394,0.41162138589989394
2024-04,0.34155797807871185,0.34155797807871185
2024-05,0.5644180984599457,0.5644180984599457
2024-06,0.5473868333168007,0.5473868333168007
2024-07,0.529521945686269,0.529521945686269
2024-08,0.6338598263159319,0.6338598263159319
2024-08,0.6338598263159319,0.6352478259431935
2024-08,0.6352478259431935,0.6338598263159319
2024-08,0.6352478259431935,0.6352478259431935
2024-09,0.4927369912900905,0.4927369912900905
2024-10,0.4506743332225349,0.4506743332225349
2024-11,0.5617260192441226,0.5617260192441226
2024-12,0.42262341698905526,0.42262341698905526
2025-01,0.43709827944668594,0.43709827944668594
2025-02,0.6102122805277254,0.6102122805277254
2025-03,0.45851282770478663,0.45851282770478663
2025-04,0.5019405041386987,0.5019405041386987
2025-05,0.413627694768421,0.413627694768421
2025-05,0.413627694768421,0.412310286677909
2025-05,0.412310286677909,0.413627694768421
2025-05,0.412310286677909,0.412310286677909
2025-06,0.5309772132278254,0.5309772132278254
2025-07,0.5178603883258251,0.5178603883258251
2025-08,0.5684005532200669,0.5684005532200669
2025-09,0.5154414216596978,0.5154414216596978
2025-10,0.5358506809131748,0.5358506809131748
2025-11,0.3756854981893044,0.3756854981893044
2025-12,0.4534299160923504,0.4534299160923504
2026-01,0.4378860715384869,0.4378860715384869
2026-02,0.5104045233607777,0.5104045233607777
2026-03,0.3647568977000581,0.3647568977000581
