time,O3_column_number_density,O3_effective_temperature
2018-09,0.7691344553560603,0.7691344553560603
2018-10,0.8771785442676227,0.8771785442676227
2018-11,0.879042783754618,0.879042783754618
2018-12,0.8487872135076947,0.8487872135076947
2019-01,0.8476550847228359,0.8476550847228359
2019-02,0.866681900416153,0.866681900416153
2019-03,0.8508179578745495,0.8508179578745495
2019-04,0.7265008795984167,0.7265008795984167
2019-05,0.840176757320431,0.840176757320431
2019-06,0.7650497635816554,0.7650497635816554
2019-06,0.7650497635816554,0.760971644828405
2019-06,0.760971644828405,0.7650497635816554
2019-06,0.760971644828405,0.760971644828405
2019-07,0.7714207873967343,0.7714207873967343
2019-08,0.8674014441358331,0.8674014441358331
2019-09,0.8918448002870737,0.8918448002870737
2019-10,0.8699850998578182,0.8699850998578182
2019-11,0.8587223063081513,0.8587223063081513
2019-12,0.8545738889991072,0.8545738889991072
2020-01,0.8894305333150687,0.8894305333150687
2020-02,0.8643343363202505,0.8643343363202505
2020-03,0.924266359157491,0.924266359157491
2020-03,0.924266359157491,0.8475904892592224
2020-03,0.8475904892592224,0.924266359157491
2020-03,0.8475904892592224,0.8475904892592224
2020-04,0.8796703689363468,0.8796703689363468
2020-05,0.8155832443200415,0.8155832443200415
2020-06,0.7729551521564219,0.7729551521564219
2020-07,0.8308913487029571,0.8308913487029571
2020-08,0.8836572650420482,0.8836572650420482
2020-09,0.8650202250658554,0.8650202250658554
2020-10,0.8706590161359653,0.8706590161359653
2020-11,0.8726977077073553,0.8726977077073553
2020-12,0.8190686550055661,0.8190686550055661
2020-12,0.8190686550055661,0.8945673378963727
2020-12,0.8945673378963727,0.8190686550055661
2020-12,0.8945673378963727,0.8945673378963727
2021-01,0.8790263416590169,0.8790263416590169
2021-02,0.8702538176403316,0.8702538176403316
2021-03,0.8706219207750554,0.8706219207750554
2021-04,0.8663341983695507,0.8663341983695507
2021-05,0.8179110557144137,0.8179110557144137
2021-06,0.7965655666578194,0.7965655666578194
2021-07,0.8134424494924446,0.8134424494924446
2021-08,0.8708344699599908,0.8708344699599908
2021-09,0.8638142159618204,0.8638142159618204
2021-09,0.8638142159618204,0.8810566327639736
2021-09,0.8810566327639736,0.8638142159618204
2021-09,0.8810566327639736,0.8810566327639736
2021-10,0.8774676164732336,0.8774676164732336
2021-11,0.8668578066052074,0.8668578066052074
2021-12,0.8740608719644106,0.8740608719644106
2022-01,0.8763326430909633,0.8763326430909633
2022-02,0.8618655556657737,0.8618655556657737
2022-03,0.8723739791026023,0.8723739791026023
2022-04,0.8957122715837779,0.8957122715837779
2022-05,0.8210441319035618,0.8210441319035618
2022-06,0.8252686572099329,0.8252686572099329
2022-06,0.8252686572099329,0.7885356491209086
2022-06,0.7885356491209086,0.8252686572099329
2022-06,0.7885356491209086,0.7885356491209086
2022-07,0.8173705660208649,0.8173705660208649
2022-08,0.8720678132129749,0.8720678132129749
2022-09,0.8666808528339802,0.8666808528339802
2022-10,0.8710071338822207,0.8710071338822207
2022-11,0.8833388264733081,0.8833388264733081
2022-12,0.8708450965171528,0.8708450965171528
2023-01,0.8672579191879113,0.8672579191879113
2023-02,0.8910509086922246,0.8910509086922246
2023-03,0.8370542465677137,0.8370542465677137
2023-03,0.8370542465677137,0.8857135719193057
2023-03,0.8857135719193057,0.8370542465677137
2023-03,0.8857135719193057,0.8857135719193057
2023-04,0.8666326411976966,0.8666326411976966
2023-05,0.816693449723903,0.816693449723903
2023-06,0.7639009607762707,0.7639009607762707
2023-07,0.8110196298868058,0.8110196298868058
2023-08,0.8704327241014449,0.8704327241014449
2023-09,0.8827511138274599,0.8827511138274599
2023-10,0.8701281081572596,0.8701281081572596
2023-11,0.8667236246617454,0.8667236246617454
2023-12,0.9346042885957081,0.9346042885957081
2023-12,0.9346042885957081,0.8693625604236889
2023-12,0.8693625604236889,0.9346042885957081
2023-12,0.8693625604236889,0.8693625604236889
2024-01,0.8902295638135337,0.8902295638135337
2024-02,0.8666315070153975,0.8666315070153975
2024-03,0.873754670502265,0.873754670502265
2024-04,0.8861233684574302,0.8861233684574302
2024-05,0.8263227064755579,0.8263227064755579
2024-06,0.7929276966163119,0.7929276966163119
2024-07,0.7863730077452448,0.7863730077452448
2024-08,0.88340494081275,0.88340494081275
2024-09,0.8554933609194099,0.8554933609194099
2024-09,0.8554933609194099,0.8699922120188178
2024-09,0.8699922120188178,0.8554933609194099
2024-09,0.8699922120188178,0.8699922120188178
2024-10,0.8735163922229938,0.8735163922229938
2024-11,0.8905316119757831,0.8905316119757831
2024-12,0.880674080928089,0.880674080928089
2025-01,0.8555404349766889,0.8555404349766889
2025-02,0.8767753609555702,0.8767753609555702
2025-03,0.8741119845914757,0.8741119845914757
2025-04,0.8700973725724853,0.8700973725724853
2025-05,0.8344685498443003,0.8344685498443003
2025-06,0.7812002147683133,0.7812002147683133
2025-06,0.7812002147683133,0.7756296802913941
2025-06,0.7756296802913941,0.7812002147683133
2025-06,0.7756296802913941,0.7756296802913941
2025-07,0.7903870317098172,0.7903870317098172
2025-08,0.873110616506299,0.873110616506299
2025-09,0.8973990675528221,0.8973990675528221
2025-10,0.8654087204378993,0.8654087204378993
2025-11,0.8791583914969598,0.8791583914969598
2025-12,0.8768020305367791,0.8768020305367791
2026-01,0.883530073074761,0.883530073074761
2026-02,0.8511178750367636,0.8511178750367636
2026-03,0.9368966923475406,0.9368966923475406
