time,cloud_fraction,cloud_top_pressure,cloud_top_height,cloud_base_pressure,cloud_base_height,cloud_optical_depth
2018-07,0.812157083181783,0.812157083181783,0.7892002056073081,0.812157083181783,0.7892002056073081,0.7892002056073081
2018-08,0.7714101399578448,0.7714101399578448,0.7254027994162318,0.7714101399578448,0.7254027994162318,0.7254027994162318
2018-09,0.8231864039643666,0.8231864039643666,0.8051361331703767,0.8231864039643666,0.8051361331703767,0.8051361331703767
2018-10,0.8224999724454143,0.8224999724454143,0.7900181370405884,0.8224999724454143,0.7900181370405884,0.7900181370405884
2018-11,0.8184001707382326,0.8184001707382326,0.8170049267599115,0.8184001707382326,0.8170049267599115,0.8170049267599115
2018-12,0.661213672796448,0.661213672796448,0.6598709319758185,0.661213672796448,0.6598709319758185,0.6598709319758185
2019-01,0.8574875606353966,0.8574875606353966,0.8574450653411075,0.8574875606353966,0.8574450653411075,0.8574450653411075
2019-02,0.864854053237955,0.864854053237955,0.6459185003983455,0.864854053237955,0.6459185003983455,0.6459185003983455
2019-03,0.8194680232970084,0.8080526570755714,0.7733830050663698,0.8080526570755714,0.7733830050663698,0.7733830050663698
2019-04,0.8114248659928651,0.5499406657922677,0.5499406657922677,0.5499406657922677,0.5499406657922677,0.5499406657922677
2019-04,0.8114248659928651,0.5499406657922677,0.5499406657922677,0.5499406657922677,0.5499406657922677,0.5263747386010711
2019-04,0.8114248659928651,0.5499406657922677,0.5499406657922677,0.5499406657922677,0.5263747386010711,0.5499406657922677
2019-04,0.8114248659928651,0.5499406657922677,0.5499406657922677,0.5499406657922677,0.5263747386010711,0.5263747386010711
2019-04,0.8114248659928651,0.5499406657922677,0.5499406657922677,0.5263747386010711,0.5499406657922677,0.5499406657922677
2019-04,0.8114248659928651,0.5499406657922677,0.5499406657922677,0.5263747386010711,0.5499406657922677,0.5263747386010711
2019-04,0.8114248659928651,0.5499406657922677,0.5499406657922677,0.5263747386010711,0.5263747386010711,0.5499406657922677
2019-04,0.8114248659928651,0.5499406657922677,0.5499406657922677,0.5263747386010711,0.5263747386010711,0.5263747386010711
2019-04,0.8114248659928651,0.5499406657922677,0.5263747386010711,0.5499406657922677,0.5499406657922677,0.5499406657922677
2019-04,0.8114248659928651,0.5499406657922677,0.5263747386010711,0.5499406657922677,0.5499406657922677,0.5263747386010711
2019-04,0.8114248659928651,0.5499406657922677,0.5263747386010711,0.5499406657922677,0.5263747386010711,0.5499406657922677
