time,step,latitude,longitude,tp,t2m,number,surface,valid_time,heightAboveGround
2006-11-02,0 days 12:00:00,54.675,21.15,3.731445,275.11942,0,0.0,2006-11-02 12:00:00,2.0
2006-11-02,0 days 12:00:00,54.925,25.275,0.52478063,273.07547,0,0.0,2006-11-02 12:00:00,2.0
2006-11-02,0 days 12:00:00,54.925,23.9,0.43104398,274.0745,0,0.0,2006-11-02 12:00:00,2.0
2006-11-02,0 days 12:00:00,54.925,21.15,4.048064,276.444,0,0.0,2006-11-02 12:00:00,2.0
2006-11-02,0 days 12:00:00,55.675,25.275,0.6036085,272.93033,0,0.0,2006-11-02 12:00:00,2.0
2006-11-02,0 days 12:00:00,55.675,23.9,0.5944632,273.61343,0,0.0,2006-11-02 12:00:00,2.0
2006-11-02,0 days 12:00:00,55.675,21.15,3.7571838,276.51407,0,0.0,2006-11-02 12:00:00,2.0
2006-11-02,0 days 18:00:00,54.675,25.275,0.50973403,269.53152,0,0.0,2006-11-02 18:00:00,2.0
2006-11-02,0 days 18:00:00,54.675,23.9,0.40353286,271.30887,0,0.0,2006-11-02 18:00:00,2.0
2006-11-02,0 days 18:00:00,54.675,21.15,5.795342,274.1514,0,0.0,2006-11-02 18:00:00,2.0
2006-11-02,0 days 18:00:00,54.925,25.275,0.5710796,270.27505,0,0.0,2006-11-02 18:00:00,2.0
2006-11-02,0 days 18:00:00,54.925,23.9,0.4361843,271.46378,0,0.0,2006-11-02 18:00:00,2.0
2006-11-02,0 days 18:00:00,54.925,21.15,6.464621,275.8102,0,0.0,2006-11-02 18:00:00,2.0
2006-11-02,0 days 18:00:00,55.675,25.275,0.69615686,270.33597,0,0.0,2006-11-02 18:00:00,2.0
2006-11-02,0 days 18:00:00,55.675,23.9,0.6583179,270.87564,0,0.0,2006-11-02 18:00:00,2.0
2006-11-02,0 days 18:00:00,55.675,21.15,5.7425294,275.80472,0,0.0,2006-11-02 18:00:00,2.0
2006-11-02,1 days 00:00:00,54.675,25.275,0.5859665,267.98822,0,0.0,2006-11-03 00:00:00,2.0
2006-11-02,1 days 00:00:00,54.675,23.9,0.41577667,270.1894,0,0.0,2006-11-03 00:00:00,2.0
2006-11-02,1 days 00:00:00,54.675,21.15,7.749088,274.19257,0,0.0,2006-11-03 00:00:00,2.0
2006-11-02,1 days 00:00:00,54.925,25.275,0.68475,269.0031,0,0.0,2006-11-03 00:00:00,2.0
2006-11-02,1 days 00:00:00,54.925,23.9,0.46489853,270.48505,0,0.0,2006-11-03 00:00:00,2.0
2006-11-02,1 days 00:00:00,54.925,21.15,8.511055,275.8791,0,0.0,2006-11-03 00:00:00,2.0
2006-11-02,1 days 00:00:00,55.675,25.275,0.8612332,269.54974,0,0.0,2006-11-03 00:00:00,2.0
2006-11-02,1 days 00:00:00,55.675,23.9,0.7552542,270.04047,0,0.0,2006-11-03 00:00:00,2.0
2006-11-02,1 days 00:00:00,55.675,21.15,7.914888,275.4577,0,0.0,2006-11-03 00:00:00,2.0
2006-11-03,0 days 06:00:00,54.675,25.275,0.06972456,266.6738,0,0.0,2006-11-03 06:00:00,2.0
2006-11-03,0 days 06:00:00,54.675,23.9,0.011517879,269.9946,0,0.0,2006-11-03 06:00:00,2.0
2006-11-03,0 days 06:00:00,54.675,21.15,0.57984734,273.16232,0,0.0,2006-11-03 06:00:00,2.0
