stebejimo_laikas,oro_temp,juntamoji_temp,vejo_greitis,vejo_gusis,vejo_kryptis,debesuotumas,slegis_juros_lyg,santyk_oro_dregme,kritutliu_kiekis,oro_salygos
2017-11-01,4.441666666666666,3.7375000000000003,2.8208333333333333,8.6,252.0,96.5,1007.975,94.125,7.5,nedidelis lietus
2017-11-02,8.387500000000001,8.387500000000001,2.8249999999999997,7.7,242.0,94.0,1000.5041666666666,95.5,12.2,nedidelis lietus
2017-11-03,7.116666666666667,7.116666666666667,2.4541666666666666,6.7,38.0,95.5,1010.2125,94.54166666666667,1.1,lietus
2017-11-04,6.2749999999999995,6.0249999999999995,2.8125,6.4,210.0,95.0,1017.5625,93.08333333333333,0.0,debesuota
2017-11-05,6.0375000000000005,4.833333333333333,3.891666666666667,8.7,159.0,71.70833333333333,1015.1708333333332,87.58333333333333,0.0,debesuota
2017-11-06,5.625,4.420833333333333,3.1374999999999997,8.0,150.0,82.0,1018.8166666666666,91.20833333333333,0.0,debesuota
2017-11-07,5.9624999999999995,5.9624999999999995,1.1416666666666666,4.6,8.0,100.0,1028.7958333333333,89.625,0.0,debesuota
2017-11-08,5.533333333333334,4.7625,2.345833333333333,6.7,125.0,70.91666666666667,1030.1541666666667,89.66666666666667,0.0,migla
2017-11-09,1.9583333333333333,-1.5708333333333335,3.5708333333333333,7.4,152.0,100.0,1023.875,90.79166666666667,0.0,debesuota
2017-11-10,4.091666666666667,1.4791666666666667,4.095833333333333,8.8,194.0,98.0,1011.0958333333333,93.625,1.4,nedidelis lietus
2017-11-11,3.6166666666666667,0.3458333333333334,5.258333333333334,10.8,192.0,81.04166666666667,999.6875,87.375,7.0,debesuota
2017-11-12,2.8041666666666667,-1.2166666666666666,4.6625000000000005,11.0,189.0,94.0,1000.775,83.41666666666667,0.0,debesuota
2017-11-13,0.875,-0.8583333333333333,1.925,6.4,148.0,93.73913043478261,1008.15,89.375,4.8999999999999995,debesuota
2017-11-14,1.3333333333333333,-1.3541666666666667,2.5541666666666667,7.7,244.0,88.33333333333333,1016.7291666666666,93.25,0.0,debesuota
2017-11-15,3.529166666666667,0.7958333333333333,3.8708333333333336,8.3,245.0,86.79166666666667,1019.5375,92.875,1.8,lietus
2017-11-16,4.125,2.8375,2.625,9.1,203.0,79.5,1024.4041666666667,87.75,0.4,debesuota
2017-11-17,3.4250000000000003,0.3666666666666667,3.5416666666666665,9.2,199.0,91.5,1019.8083333333334,90.04166666666667,0.2,migla
2017-11-18,2.5875,-1.3125,4.366666666666666,8.8,180.0,88.20833333333333,1013.6541666666667,86.54166666666667,0.0,debesuota
2017-11-19,1.4708333333333334,-2.5833333333333335,4.183333333333333,9.7,186.0,93.5,1002.7583333333333,90.75,1.2000000000000002,debesuota
2017-11-20,1.5541666666666665,-0.975,2.6083333333333334,7.2,170.0,90.375,1005.1166666666667,92.45833333333333,0.9,debesuota
2017-11-21,0.6,-0.1125,1.0041666666666667,5.1,328.0,94.0,1010.6333333333333,93.41666666666667,0.6,debesuota
2017-11-22,-0.8291666666666666,-3.4625,2.316666666666667,6.4,193.0,82.95833333333333,1016.1333333333333,86.16666666666667,0.0,debesuota
2017-11-23,0.09583333333333334,-4.733333333333333,4.941666666666666,11.0,144.0,93.875,1017.0083333333333,89.875,0.8,migla
2017-11-24,1.8166666666666667,-2.4250000000000003,4.620833333333334,9.0,165.0,99.5,1015.1291666666666,95.25,0.0,migla
2017-11-25,4.233333333333333,1.4749999999999999,3.7083333333333335,11.4,161.0,96.57142857142857,1011.6708333333332,95.45833333333333,1.5,migla
2017-11-26,3.420833333333333,1.45,2.75,10.8,170.0,88.375,1013.6333333333333,90.58333333333333,1.7000000000000002,migla
2017-11-27,1.0333333333333334,-0.6875,1.7541666666666667,4.8,195.0,84.58333333333333,1018.8208333333333,86.41666666666667,0.0,debesuota
2017-11-28,0.5,-4.125,4.825,11.2,147.0,62.708333333333336,1014.8666666666667,80.29166666666667,0.0,debesuota
2017-11-29,0.8291666666666666,-3.0833333333333335,3.8000000000000003,9.0,147.0,100.0,1011.2333333333332,90.625,0.5,debesuota
2017-11-30,0.44583333333333336,-3.225,3.466666666666667,8.0,88.0,97.5,1008.4541666666668,93.20833333333333,7.6,migla
2017-12-01,0.5958333333333333,-3.8833333333333333,4.654166666666667,10.8,206.0,100.0,1003.8541666666666,93.91666666666667,3.7,nedidelė šlapdriba
2017-12-02,1.5374999999999999,-0.5291666666666667,2.341666666666667,7.9,239.0,99.0,1021.275,92.625,0.0,debesuota
2017-12-03,-0.8958333333333334,-3.845833333333333,2.4375,6.1,192.0,47.0,1021.0291666666667,90.29166666666667,0.0,giedra
2017-12-04,-1.4083333333333332,-4.8625,2.7916666666666665,6.5,203.0,94.5,1010.125,91.25,1.7000000000000002,nedidelis sniegas
2017-12-05,0.35833333333333334,-3.8625000000000003,4.183333333333333,10.2,308.0,84.0,1013.3625000000001,89.91666666666667,1.8,debesuota
2017-12-06,1.0833333333333333,-1.7083333333333333,3.016666666666667,13.7,301.0,74.625,1009.7833333333333,89.625,1.3,debesuota
2017-12-07,2.1,-0.5833333333333334,2.8666666666666667,8.1,204.0,97.0,1009.4499999999999,94.58333333333333,8.7,lietus
2017-12-08,1.9625000000000001,-2.0458333333333334,4.308333333333334,10.7,199.0,94.0,1003.0749999999999,90.875,0.5,migla
2017-12-09,0.5541666666666667,-1.8291666666666666,2.3625000000000003,6.6,187.0,90.5,1005.0666666666666,90.66666666666667,0.0,debesuota
2017-12-10,-1.6125,-5.095833333333333,2.6999999999999997,5.7,185.0,70.16666666666667,1002.7166666666667,91.625,0.0,migla
2017-12-11,-0.8833333333333333,-5.658333333333334,4.491666666666666,9.2,143.0,91.0,999.2208333333333,90.125,0.4,debesuota
2017-12-12,4.070833333333334,1.3208333333333333,5.283333333333333,16.2,143.0,86.83333333333333,999.375,82.66666666666667,0.0,debesuota
2017-12-13,0.8083333333333332,-3.0708333333333333,3.9958333333333336,12.2,220.0,51.333333333333336,1010.9708333333333,76.95833333333333,0.0,debesuota
2017-12-14,-0.8875000000000001,-5.991666666666667,5.0375000000000005,11.7,146.0,77.20833333333333,999.5583333333334,88.58333333333333,5.0,debesuota
2017-12-15,0.3833333333333333,-3.0041666666666664,3.454166666666666,9.8,50.0,91.375,999.0791666666668,91.95833333333333,10.3,debesuota
2017-12-16,-0.425,-1.4375,1.2416666666666667,6.6,350.0,98.5,1002.5875,94.5,0.30000000000000004,migla
2017-12-17,-0.28750000000000003,-1.9458333333333335,1.6875,4.9,199.0,98.28571428571429,1016.0416666666666,95.0,0.0,migla
2017-12-18,-1.6333333333333335,-2.5416666666666665,1.075,5.7,180.0,95.0909090909091,1025.1458333333333,93.75,0.0,migla
2017-12-19,-0.6708333333333334,-3.966666666666667,2.6791666666666667,6.7,318.0,97.5,1025.1916666666666,93.0,0.0,debesuota
2017-12-20,-1.4708333333333332,-3.358333333333333,1.6583333333333332,7.3,7.0,99.0,1029.7791666666667,88.875,0.0,debesuota
2017-12-21,-2.1458333333333335,-6.116666666666667,3.2875,7.7,191.0,93.52380952380952,1022.3291666666668,91.41666666666667,4.8,debesuota
2017-12-22,0.0625,-3.0,2.908333333333333,8.3,281.0,96.5,1016.6791666666667,93.20833333333333,0.9,nedidelis sniegas
2017-12-23,0.17500000000000002,-4.2,4.358333333333333,11.2,214.0,97.0,1008.5458333333332,93.79166666666667,7.1,debesuota
2017-12-24,2.9250000000000003,-0.6583333333333333,5.2250000000000005,15.4,252.0,81.08333333333333,999.4916666666667,88.45833333333333,4.9,debesuota
2017-12-25,3.4333333333333336,2.495833333333333,2.2375000000000003,10.5,268.0,96.0,1007.0583333333334,94.875,5.2,nedidelis lietus
2017-12-26,3.3708333333333336,0.6166666666666667,3.8708333333333336,8.1,178.0,69.375,1005.0583333333334,89.5,0.2,debesuota
2017-12-27,0.6625,-2.1708333333333334,2.670833333333333,8.3,165.0,90.85,1001.7208333333333,96.0,0.4,migla
2017-12-28,2.154166666666667,-2.191666666666667,5.033333333333333,11.4,143.0,47.583333333333336,999.4250000000001,88.25,0.0,migla
2017-12-29,2.4,-0.37916666666666665,3.0083333333333333,8.7,147.0,98.5,1002.5500000000001,94.375,8.2,nedidelis lietus
2017-12-30,0.09583333333333333,-2.8166666666666664,2.5833333333333335,9.5,173.0,83.66666666666667,1011.2291666666666,92.375,0.0,migla
2017-12-31,-0.46249999999999997,-5.058333333333334,4.391666666666667,10.2,137.0,93.61904761904762,1005.2125,90.625,0.2,debesuota
2018-01-01,3.7875,1.5,4.720833333333333,10.1,169.0,91.65217391304348,1002.5666666666666,95.375,4.3,migla
