observationTime,airTemperature,seaLevelPressure,relativeHumidity,missforest_precipitation,cloudCover_fixed,feelsLikeTemperature_fixed,windSpeed_fixed,windGust_fixed,windDirection_fixed
2017-11-01,4.1454545454545455,1008.4272727272728,93.95454545454545,7.0,96.18181818181819,2.1,2.8000000000000003,10.0,252.0
2017-11-02,8.333333333333334,1000.6041666666666,95.5,11.7,94.0,6.75,2.766666666666667,9.3,242.0
2017-11-03,7.320833333333333,1009.0041666666666,94.70833333333333,2.1,96.0,5.770833333333333,2.5208333333333335,8.3,294.0
2017-11-04,6.191666666666666,1017.4875000000001,93.16666666666667,0.0,94.5,4.175,2.775,7.1,210.0
2017-11-05,6.229166666666667,1015.3291666666668,87.70833333333333,0.0,72.70833333333333,3.475,3.8249999999999997,9.5,157.0
2017-11-06,5.441666666666666,1018.0958333333333,90.83333333333333,0.0,81.0,2.8333333333333335,3.4375,8.7,150.0
2017-11-07,6.05,1028.2041666666667,90.29166666666667,0.0,100.0,5.5249999999999995,1.1583333333333334,5.6,8.0
2017-11-08,5.8500000000000005,1030.2916666666667,89.41666666666667,0.0,78.20833333333333,4.420833333333333,2.0458333333333334,6.0,125.0
2017-11-09,1.9083333333333332,1024.8374999999999,90.375,0.0,92.70833333333333,-1.6666666666666667,3.6208333333333336,9.8,152.0
2017-11-10,3.841666666666667,1012.2541666666666,93.79166666666667,1.0,98.5,0.5166666666666667,3.9166666666666665,8.7,194.0
2017-11-11,3.975,1000.0708333333333,87.75,7.4,81.58333333333333,-0.07916666666666666,5.3125,12.6,182.0
2017-11-12,2.733333333333333,1000.3041666666667,84.25,0.0,93.95833333333333,-1.3499999999999999,4.704166666666667,11.0,189.0
2017-11-13,1.05,1007.7125,88.0,4.8999999999999995,93.5,-1.0333333333333334,2.2041666666666666,7.9,148.0
2017-11-14,1.2791666666666666,1015.9541666666668,93.54166666666667,0.0,87.82608695652173,-1.1291666666666667,2.375,7.7,244.0
2017-11-15,3.154166666666667,1019.4125,93.08333333333333,1.8,87.29166666666667,-0.24583333333333335,3.766666666666667,12.0,206.0
2017-11-16,4.3999999999999995,1024.125,87.45833333333333,0.4,84.20833333333333,2.2083333333333335,2.779166666666667,10.4,243.0
2017-11-17,3.295833333333333,1020.2458333333334,90.125,0.2,86.79166666666667,0.20833333333333334,3.533333333333333,9.8,197.0
2017-11-18,2.7416666666666667,1014.6750000000001,87.20833333333333,0.0,87.70833333333333,-0.9916666666666667,4.166666666666667,9.3,206.0
2017-11-19,1.4124999999999999,1003.1291666666666,90.08333333333333,1.2000000000000002,93.0,-2.7125,4.254166666666666,9.7,181.0
2017-11-20,1.7041666666666666,1004.6958333333333,92.33333333333333,0.9,90.375,-1.1541666666666666,2.9,7.7,170.0
2017-11-21,0.6291666666666667,1010.2291666666666,93.375,0.6,94.0,-0.02083333333333336,0.9,5.5,328.0
2017-11-22,-0.6124999999999999,1015.6374999999999,86.66666666666667,0.0,91.29166666666667,-3.0625,2.1708333333333334,6.4,193.0
2017-11-23,-0.30416666666666664,1017.2624999999999,89.54166666666667,0.8,85.54166666666667,-5.1375,4.7625,11.0,144.0
2017-11-24,1.825,1015.2708333333334,95.04166666666667,0.0,99.5,-2.475,4.720833333333333,11.2,174.0
2017-11-25,4.0375000000000005,1012.1458333333334,95.83333333333333,1.5,97.71428571428571,1.0374999999999999,3.5625,9.9,161.0
2017-11-26,3.733333333333333,1012.7125,90.25,1.7000000000000002,88.375,1.3833333333333335,3.2708333333333335,11.4,170.0
2017-11-27,1.0,1018.9083333333333,87.45833333333333,0.0,83.58333333333333,-0.5333333333333333,1.5916666666666668,6.4,195.0
2017-11-28,0.575,1015.35,79.79166666666667,0.0,62.708333333333336,-3.85,4.575,12.0,147.0
2017-11-29,0.85,1011.4166666666666,90.125,0.4,100.0,-3.1791666666666667,3.9583333333333335,10.8,147.0
2017-11-30,0.43333333333333335,1009.1458333333334,93.125,5.1,97.5,-3.3166666666666664,3.470833333333333,9.4,88.0
2017-12-01,0.5125000000000001,1002.9958333333334,93.95833333333333,6.3,100.0,-3.966666666666667,4.583333333333333,10.8,206.0
2017-12-02,1.5875000000000001,1020.1875,92.58333333333333,0.0,99.0,-0.7291666666666666,2.5416666666666665,9.8,234.0
2017-12-03,-0.5875,1021.8541666666666,90.54166666666667,0.0,48.0,-3.3791666666666664,2.3291666666666666,6.1,192.0
2017-12-04,-1.6916666666666667,1010.4,91.08333333333333,1.7000000000000002,93.5,-5.2,2.779166666666667,7.0,203.0
2017-12-05,0.325,1013.8208333333333,89.79166666666667,0.7,84.0,-3.8000000000000003,4.0125,10.9,308.0
2017-12-06,1.0791666666666666,1009.3041666666667,89.79166666666667,2.4,74.625,-1.9583333333333333,3.3000000000000003,14.3,301.0
2017-12-07,1.9124999999999999,1009.875,95.0,8.7,97.5,-0.6583333333333333,2.6958333333333333,9.6,256.0
2017-12-08,1.9749999999999999,1003.2708333333334,90.41666666666667,0.5,94.5,-2.058333333333333,4.3500000000000005,10.7,199.0
2017-12-09,0.8791666666666668,1005.0749999999999,90.95833333333333,0.0,90.5,-1.6833333333333333,2.5083333333333333,8.4,187.0
2017-12-10,-1.4541666666666666,1003.0416666666666,91.375,0.0,73.29166666666667,-4.7625,2.5541666666666667,5.9,185.0
2017-12-11,-1.1833333333333333,999.2291666666666,90.20833333333333,0.4,86.875,-5.95,4.358333333333333,10.8,143.0
2017-12-12,3.7583333333333333,998.9916666666667,85.29166666666667,0.0,87.33333333333333,-0.25000000000000006,5.129166666666667,16.2,143.0
2017-12-13,1.4041666666666668,1010.5333333333333,74.5,0.0,59.166666666666664,-2.495833333333333,4.270833333333333,15.2,220.0
2017-12-14,-1.1583333333333334,1000.9125,88.25,3.6,68.875,-6.2749999999999995,4.9375,12.6,146.0
2017-12-15,0.425,998.7416666666667,91.83333333333333,9.8,91.875,-3.35,3.841666666666667,10.3,186.0
2017-12-16,-0.28750000000000003,1001.8166666666666,94.625,2.2,98.0,-1.1083333333333334,0.9791666666666666,6.6,350.0
2017-12-17,-0.3958333333333333,1014.7458333333334,95.20833333333333,0.0,98.85714285714286,-2.3958333333333335,1.8875,6.8,199.0
2017-12-18,-1.5708333333333335,1024.9791666666667,93.70833333333333,0.0,95.0909090909091,-2.4541666666666666,0.9416666666666668,5.9,180.0
2017-12-19,-0.7666666666666667,1025.0833333333333,92.75,0.0,97.0,-4.070833333333334,2.6625,7.3,335.0
2017-12-20,-1.2958333333333334,1029.3833333333334,89.125,0.0,99.5,-3.3000000000000003,1.7125000000000001,8.7,7.0
2017-12-21,-2.275,1023.5208333333334,91.125,4.8,92.95238095238095,-6.2,3.225,8.9,191.0
2017-12-22,0.0,1016.6875,93.625,0.9,97.5,-2.9791666666666665,2.7541666666666664,9.8,281.0
2017-12-23,-0.08749999999999998,1010.3458333333333,93.29166666666667,5.6,96.0,-4.5375000000000005,4.370833333333334,12.4,214.0
2017-12-24,2.9291666666666667,998.9125,88.875,6.2,81.58333333333333,-1.2750000000000001,5.283333333333333,15.7,257.0
2017-12-25,3.2583333333333333,1006.5583333333334,94.875,5.4,96.0,1.5875000000000001,2.1708333333333334,12.9,268.0
2017-12-26,3.829166666666667,1005.5749999999999,89.33333333333333,0.2,75.625,0.4083333333333334,4.020833333333333,9.9,193.0
2017-12-27,0.5958333333333333,1001.8166666666666,95.79166666666667,0.4,83.35,-2.1458333333333335,2.529166666666667,9.1,165.0
2017-12-28,2.095833333333333,999.3583333333332,88.54166666666667,0.0,47.083333333333336,-2.1999999999999997,4.891666666666667,13.3,143.0
2017-12-29,2.441666666666667,1002.0124999999999,94.25,8.2,98.5,-0.5958333333333333,3.2708333333333335,10.7,152.0
2017-12-30,0.30833333333333335,1011.0333333333333,92.58333333333333,0.0,88.33333333333333,-2.466666666666667,2.433333333333333,7.0,188.0
2017-12-31,-0.6291666666666667,1005.5749999999999,90.20833333333333,0.2,89.42857142857143,-5.354166666666667,4.5125,10.2,137.0
2018-01-01,3.3791666666666664,1002.7333333333332,95.54166666666667,4.3,91.65217391304348,-0.55,4.75,10.3,169.0
2018-01-02,2.7416666666666667,1008.2708333333334,95.54166666666667,0.0,85.5909090909091,-0.14166666666666666,3.0,8.3,193.0
2018-01-03,2.0083333333333333,1003.4416666666666,94.70833333333333,1.5999999999999999,91.95652173913044,-1.4916666666666665,3.579166666666667,8.1,145.0
2018-01-04,2.8166666666666664,997.1374999999999,90.41666666666667,0.0,95.0,-1.6333333333333335,5.4750000000000005,11.1,144.0
2018-01-05,3.2291666666666665,998.725,89.04166666666667,1.4000000000000001,91.0,-1.0583333333333333,5.375,13.9,148.0
2018-01-06,3.904166666666667,1005.5666666666666,88.29166666666667,1.2,90.45833333333333,0.8833333333333333,3.4499999999999997,10.0,216.0
2018-01-07,-0.30000000000000004,1022.7375000000001,85.70833333333333,0.5,60.625,-3.091666666666667,2.5208333333333335,10.2,266.0
2018-01-08,-2.2416666666666667,1031.9666666666667,83.625,0.0,41.333333333333336,-6.166666666666667,3.1625,11.1,255.0
2018-01-09,-1.7958333333333334,1034.5916666666667,91.125,0.0,80.79166666666667,-4.7375,2.5208333333333335,8.8,221.0
2018-01-10,-5.558333333333334,1027.9166666666667,92.58333333333333,0.0,35.904761904761905,-6.041666666666667,0.8083333333333332,4.8,70.0
2018-01-11,-5.3125,1026.0,91.5,0.2,97.5,-7.058333333333334,1.5875000000000001,6.8,100.0
2018-01-12,-2.8958333333333335,1036.6499999999999,78.45833333333333,0.3,96.5,-5.520833333333333,2.1625,8.0,89.0
2018-01-13,-7.0625,1044.1541666666667,81.0,0.0,29.708333333333332,-10.020833333333334,1.9375,7.3,93.0
2018-01-14,-8.5375,1041.175,80.83333333333333,0.0,100.0,-12.954166666666666,2.6041666666666665,6.9,150.0
2018-01-15,-9.512500000000001,1033.325,76.16666666666667,0.0,64.29166666666667,-16.329166666666666,4.416666666666667,9.5,144.0
2018-01-16,-9.254166666666666,1013.625,64.25,0.0,5.25,-17.483333333333334,6.4750000000000005,14.7,144.0
2018-01-17,-6.845833333333334,994.4250000000001,82.79166666666667,6.2,95.0,-11.495833333333332,3.6208333333333336,16.1,129.0
2018-01-18,-2.6791666666666667,999.3333333333334,90.16666666666667,1.0,94.0,-5.695833333333333,2.6291666666666664,8.2,186.0
2018-01-19,-2.1750000000000003,998.4875000000001,87.95833333333333,4.3,91.29166666666667,-5.208333333333333,2.629166666666667,10.3,351.0
2018-01-20,-3.1041666666666665,1007.5083333333333,92.04166666666667,3.0,98.0,-4.779166666666667,1.4583333333333333,4.8,303.0
2018-01-21,-3.783333333333333,1013.4583333333334,87.875,0.0,95.5,-3.9124999999999996,0.2416666666666667,3.6,304.0
2018-01-22,-7.008333333333333,1021.0291666666667,87.20833333333333,0.0,97.5,-10.008333333333333,1.8916666666666666,6.8,198.0
2018-01-23,-11.229166666666666,1028.5166666666667,87.79166666666667,0.0,73.5,-13.75,1.4875,5.3,164.0
2018-01-24,-7.820833333333333,1024.9083333333333,89.875,0.5,91.875,-13.679166666666667,4.2749999999999995,10.3,185.0
2018-01-25,1.0291666666666666,1017.6291666666666,93.5,0.4,94.54545454545455,-3.4875000000000003,4.966666666666667,11.5,173.0
2018-01-26,0.5916666666666667,1021.0875,86.875,1.0,80.95833333333333,-3.841666666666667,4.483333333333333,9.8,167.0
2018-01-27,-0.47500000000000003,1026.7791666666667,89.125,1.7,96.8695652173913,-4.154166666666667,3.1458333333333335,7.7,173.0
2018-01-28,1.0166666666666668,1019.1958333333333,93.54166666666667,7.9,95.5,-3.3333333333333335,4.504166666666666,11.5,172.0
2018-01-29,2.4166666666666665,1007.0041666666666,93.83333333333333,9.2,98.0,-1.4083333333333332,4.2875000000000005,14.5,252.0
2018-01-30,1.4708333333333332,1002.3791666666666,84.33333333333333,2.1,89.45833333333333,-3.891666666666667,6.695833333333333,18.7,296.0
2018-01-31,0.17083333333333336,1013.6208333333334,83.04166666666667,0.2,95.5,-3.704166666666667,3.654166666666667,11.6,291.0
2018-02-01,0.2333333333333333,1003.1583333333333,91.66666666666667,8.9,98.5,-4.066666666666667,4.470833333333333,11.7,177.0
2018-02-02,0.3125,1005.975,95.33333333333333,8.0,93.6470588235294,-0.7374999999999999,1.0083333333333333,5.9,200.0
2018-02-03,-0.5750000000000001,1007.7666666666668,89.875,0.0,93.3,-1.4625000000000001,1.0374999999999999,7.3,56.0
2018-02-04,-2.6374999999999997,1013.975,76.79166666666667,0.0,92.95833333333333,-7.325,3.779166666666667,11.8,339.0
2018-02-05,-8.008333333333333,1022.4666666666667,80.16666666666667,0.0,84.75,-11.75,2.1999999999999997,8.3,302.0
2018-02-06,-6.245833333333334,1016.7875,87.04166666666667,3.1,91.5,-9.241666666666665,2.1791666666666667,8.2,211.0
2018-02-07,-6.291666666666667,1022.8416666666667,74.33333333333333,0.0,38.208333333333336,-11.183333333333332,3.1875,7.8,199.0
2018-02-08,-3.7416666666666667,1020.7208333333333,86.5,0.7,97.5,-5.8374999999999995,1.7750000000000001,6.9,1.0
