time,airTemperature,seaLevelPressure,relativeHumidity,xgb_precipitation,xgb_cloudCover,feelsLikeTemperature_fixed,windSpeed_fixed,windGust_fixed,windDirection_fixed,absorbing_aerosol_index,NO2_column_number_density,stratospheric_NO2_column_number_density,NO2_slant_column_number_density,tropopause_pressure,H2O_column_number_density,BrO,BrO_Error,NO2,NO2_Error,O3,O3_Error,dust,sia,pm2p5,pans,nmvoc,nh3,pm10,tp,t2m
2018-07-13,17.929166666666667,1011.1958333333332,84.54166666666667,24.0,82.58333333333333,17.92916666666667,1.2708333333333335,8.0,29.0,-1.2141227,8.436423e-05,6.5112516e-05,0.0002075942,19219.334,2178.9436,36101258500000.0,16522583500000.0,3688520350000000.0,320899875000000.0,338.11345,1.215588,0.011105337,0.5472334,2.033328,2.3578768,4.4185624,0.1466094,2.3620572,16.231258,19.181183
2018-07-14,18.041666666666668,1008.7458333333334,87.625,13.3,83.47826086956522,18.041666666666668,0.6458333333333335,6.6,3.0,-0.76247597,7.8587604e-05,6.294364e-05,0.00020318356,19222.883,2079.2047682021894,36599790800000.0,15200303400000.0,4186391580000000.0,278075232000000.0,357.440346,0.786811158,0.017106937,0.3808367,1.7353388,1.6913794,3.8062708,0.090536594,1.9349161,11.337151,20.063202
2018-07-15,18.695833333333333,1009.6041666666666,89.16666666666667,11.1,69.70833333333333,18.695833333333333,1.2708333333333335,6.1,318.0,-1.0985203,9.014908e-05,5.7137353e-05,0.00014914399,16677.404,2104.9294327557727,34498851200000.0,14539663700000.0,3940498050000000.0,295536965000000.0,344.739951,0.8695034789999999,0.037637997,1.476806,3.460934,1.9934765,5.2561398,0.06750298,3.7987154,2.70689,21.764679
2018-07-16,20.133333333333333,1009.5291666666668,86.75,4.8,86.375,20.150000000000002,1.4958333333333331,11.0,359.0,-0.7708744,7.7394274e-05,6.201879e-05,0.00018329863,16673.053,2747.9875,35121575000000.0,16473798000000.0,3581072150000000.0,332312620000000.0,333.95956,0.932045025,0.33288595,2.0800607,5.0539336,2.3918977,5.193329,0.0366012,5.3406053,10.257552,22.063354
2018-07-17,21.4875,1006.3958333333334,83.58333333333333,4.699999999999999,82.20833333333333,21.675,2.4208333333333334,14.1,25.0,-1.3234118,7.984217e-05,6.746236e-05,0.00019518458,16663.484,2118.9463,24873923000000.0,16959601000000.0,3512209350000000.0,328252140000000.0,322.949665,1.0748535,0.8062772,1.6419511,6.432777,1.5029569,3.933102,0.06594013,7.398298,0.4988842,23.874756
2018-07-18,23.891666666666666,1005.8833333333332,68.125,2.220446049250313e-16,19.91666666666667,24.079166666666666,2.6416666666666666,10.7,30.0,-0.93810564,6.9443e-05,6.372007e-05,0.0001805659,17928.254,2269.3027,27204632333333.33,20054446666666.668,3893111933333333.5,468686090000000.0,320.14992666666666,0.8880657666666667,0.25082627,0.94727045,3.4705474,1.3491098,3.662014,0.0649491,4.0849614,7.375377,21.52356
2018-07-19,20.291666666666668,1006.85,80.625,0.8,42.91666666666666,20.29166666666667,2.0416666666666665,10.7,2.0,-1.438066,7.973031e-05,6.4803564e-05,0.0002015148,16673.79,2198.6694,34111324250000.0,14863641250000.0,3617016525000000.0,261649405000000.0,343.47908,0.8609150775,0.5183274,2.102845,5.887909,1.5419077,3.3593242,0.04464758,6.22996,1.7524929,22.409332
2018-07-20,21.541666666666668,1006.9916666666668,76.375,2.220446049250313e-16,39.875,21.6375,2.1666666666666665,9.9,316.0,-1.662382,8.785648e-05,6.4138076e-05,0.00016730526,16676.031,1961.5753,23702892500000.0,16301193166666.666,3946021000000000.0,360734366666666.7,320.9303066666667,0.8161368566666667,0.24160983,2.1468158,5.5546412,1.5740018,3.4680698,0.10547891,6.401783,0.48054314,22.298584
2018-07-21,21.09583333333333,1008.6583333333332,75.375,2.220446049250313e-16,51.79166666666666,21.120833333333334,2.35,8.5,296.0,-1.124562,7.7301695e-05,6.475033e-05,0.0001939832,16676.938,2191.91956918416,25557109666666.67,20616712000000.0,3927867900000000.0,411794050000000.0,316.35021333333333,0.93617208,0.160495,1.233662,4.3142757,1.0256438,3.0033863,0.28694493,5.1447225,0.15763104,22.693054
2018-07-22,22.379166666666663,1009.5625,66.66666666666667,2.220446049250313e-16,23.08333333333333,22.433333333333337,2.154166666666667,9.2,315.0,-0.6923158,6.673095e-05,6.155603e-05,0.00017215923,16677.082,1967.0280219860047,19727263500000.0,20424835250000.0,4267357275000000.0,492028792500000.0,319.1622325,0.9600298025,0.0784921,0.5899461,2.331967,1.3171245,4.092729,0.10600402,3.0804358,1.768217,22.477875
2018-07-23,20.27916666666667,1010.25,82.375,1.6,89.45833333333333,20.29583333333333,1.575,12.8,7.0,-1.724667,7.4951764e-05,6.214432e-05,0.00018581205,16679.361,1952.4467,42477559200000.0,16624164800000.0,3489130340000000.0,307482160000000.0,314.459568,0.998943418,0.338359,2.5607488,5.5258565,2.2568963,5.362559,0.050892323,6.162775,2.4748344,21.62738
2018-07-24,21.225,1011.6666666666666,78.25,2.220446049250313e-16,59.54166666666666,21.245833333333337,1.85,8.8,6.0,-0.9129542,7.592453e-05,6.236103e-05,0.00018983707,16681.703,1998.0983,31313973428571.43,14463105714285.717,3640517100000000.0,258632467142857.2,310.4491642857143,0.8784021585714286,0.35137966,2.801694,5.767738,2.2191694,4.153195,0.06014585,6.428156,3.4629369,21.900238
2018-07-25,21.3625,1013.6666666666666,73.125,2.220446049250313e-16,71.16666666666667,21.383333333333336,1.5916666666666668,7.2,38.0,-1.5020057,8.970212e-05,6.44512e-05,0.00016877407,16685.484,2125.6956,31076964000000.0,15731283500000.0,3521028850000000.0,282811025000000.0,320.89291000000003,0.85172955,0.87834245,2.3004823,5.4636674,2.091142,4.4703965,0.09804051,6.179346,0.96988463,22.40039
2018-07-26,21.7,1016.3166666666666,75.95833333333333,2.220446049250313e-16,54.41666666666666,21.737500000000004,1.8166666666666669,7.7,41.0,-0.7520565,8.013719e-05,6.336103e-05,0.00020578656,16685.203,2745.001,32370408333333.33,19218819333333.33,3960785000000000.0,428233553333333.3,322.73638,0.8558324666666667,3.6102865,2.42836,8.058635,1.6186131,4.2566447,0.07612688,9.967792,5.322854,22.868347
2018-07-27,22.05,1017.0541666666668,76.75,2.220446049250313e-16,60.29166666666666,22.20833333333333,2.4208333333333334,9.0,24.0,-0.92632,8.042006e-05,6.4407504e-05,0.00020578233,16681.71,2549.9458,31852600000000.0,17553376000000.0,3789506860000000.0,328028284000000.0,325.655054,0.9600303,9.527871,2.425322,12.620925,1.2919806,3.6496356,0.1265926,16.927883,14.263039,22.419617
2018-07-28,23.67083333333333,1013.6166666666668,75.5,2.220446049250313e-16,63.875,24.05,2.575,9.8,93.0,-1.4252758,7.991245e-05,6.329021e-05,0.00019033888,16684.984,2383.729,44212870000000.0,17189091500000.0,4323588400000000.0,334983675000000.0,309.787915,0.8792587700000001,11.930301,3.1471434,14.032247,1.2616435,3.691499,0.32876375,22.275625,0.2892108,25.260834
2018-07-29,25.879166666666663,1015.0708333333332,67.20833333333333,2.220446049250313e-16,45.0,26.375,2.1791666666666667,9.8,64.0,-1.3808575,7.996052e-05,6.2179766e-05,0.00018603567,16689.21,2808.7620037780025,24773817875000.0,14210708875000.0,3550151012500000.0,275941225000000.0,299.3205475,1.10190857375,0.6771075,2.9194403,8.40651,1.500794,4.105402,0.280502,9.2695675,0.6279718,25.00351
2018-07-30,23.241666666666664,1019.1125,75.04166666666667,13.200000000000001,39.25,23.4,1.258333333333333,9.4,75.0,-0.7084697,8.187831e-05,5.974987e-05,0.00018856933,16692.521,2312.126928264004,43202526333333.336,18609182333333.33,3473764500000000.0,422906233333333.3,302.05626666666666,0.9196927733333332,0.7567537,1.8110391,4.9116616,1.4479889,3.1774054,0.38571545,6.154188,0.0,23.936127
2018-07-31,22.995833333333334,1021.7541666666666,73.58333333333333,2.220446049250313e-16,66.54166666666667,23.204166666666666,1.5,7.8,69.0,-1.5554055,9.363197e-05,5.886457e-05,0.00017014162,16692.633,1302.6394,7750456000000.0,19222568000000.0,3453471800000000.0,461149600000000.0,293.276305,1.09755575,0.29455456,2.3886087,5.329988,1.756958,3.4871237,0.26598248,6.19128,0.0,22.601227
2018-08-01,22.866666666666664,1022.1708333333332,65.20833333333333,2.220446049250313e-16,6.333333333333336,22.929166666666664,1.2333333333333332,5.2,86.00000000000001,-1.2592771,8.405181e-05,5.828396e-05,0.00019824592,16692.115,1607.1494,36510457200000.0,21729039600000.0,4381514100000000.0,566866420000000.0,297.864628,0.97281606,0.41501,2.2311418,5.204947,1.5916963,3.335067,0.74143887,6.327926,0.0077466965,23.714691
2018-08-02,24.46666666666667,1021.9041666666668,63.25,2.220446049250313e-16,13.708333333333336,24.641666666666666,0.9624999999999999,5.3,98.0,-1.4420438,8.560979e-05,5.9123828e-05,0.00019368435,16688.05,2559.3801,34722572000000.0,18983360000000.0,2913969700000000.0,463435440000000.0,290.7329966666667,0.8454150666666665,0.8374223,3.257043,6.8412013,1.3870991,3.5842705,0.5789718,8.050784,6.0384808,24.097076
2018-08-03,23.683333333333334,1018.8958333333334,71.41666666666667,2.220446049250313e-16,35.083333333333336,23.9625,1.575,7.8,286.0,-0.96067774,8.002482e-05,5.8849688e-05,0.00019001501,14416.609,1838.3761,24181143500000.0,16912551500000.0,3818401650000000.0,375699832500000.0,293.4341825,0.9164726225,0.17694385,1.5662073,4.319716,0.87659603,2.7838433,0.4880588,6.6300006,9.536743e-07,23.224304
2018-08-04,22.875,1015.2708333333334,63.333333333333336,2.220446049250313e-16,3.75,22.979166666666668,2.5083333333333333,7.9,285.0,-1.5561258,7.300195e-05,6.1806764e-05,0.00015190993,16679.018,2492.358,15143775000000.0,21956747000000.0,3930486300000000.0,681104200000000.0,283.3302066666667,1.0858530666666666,0.3147724,1.9206729,4.687909,0.7013099,2.3299012,0.41244957,6.9593945,0.45918643,22.373962
2018-08-05,21.729166666666668,1011.875,67.29166666666667,0.40000000000000013,41.41666666666666,21.725000000000005,2.783333333333333,14.6,256.0,-1.5011376,8.3338724e-05,6.0276878e-05,0.00015634087,14415.401,1985.5682,32992867285714.285,19870606000000.0,3728241914285714.5,454738781428571.4,312.2440642857143,0.9417462285714284,0.03838319,0.6813695,2.6821268,0.6381144,1.4675273,0.18579023,6.944485,1.1713889,20.59076
2018-08-06,19.77083333333333,1013.0875,65.75,2.220446049250313e-16,19.91666666666667,19.704166666666666,3.858333333333333,13.4,242.0,-1.0112885,7.6267184e-05,6.166248e-05,0.00020070009,16684.438,1868.6641,35696556666666.664,17344473000000.0,3540871166666666.5,393410003333333.3,305.65887333333336,0.8967263466666667,0.032764304,0.69477683,2.7707512,0.89560485,1.745243,0.25016347,5.994459,1.3850865,20.076874
2018-08-07,18.479166666666668,1016.1583333333332,74.79166666666667,1.1,39.79166666666666,18.4625,2.004166666666667,10.0,269.0,-1.1478614,8.240606e-05,5.9270136e-05,0.00019548759,16667.297,1998.0412999999999,38305130000000.0,14996148000000.0,3691160700000000.0,282516700000000.0,315.70813,0.82548225,0.044958178,1.949921,5.095709,1.1620681,2.7369196,0.55507165,6.4536424,0.062916785,22.210114
