BrO,BrO_Error,H2O,H2O_Error,HCHO,HCHO_Error,NO2,NO2Tropo,NO2Tropo_Error,NO2_Error,O3,O3_Error,SO2,SO2_Error,lat,lon,date,km_to_Vilnius
42765530000000.0,10305160000000.0,,,,,1609821400000000.0,,,188775900000000.0,334.24588,2.1175158,-0.21963407,0.41286293,54.910225,25.072021,2017-02-13,28.14617971774471
53988110000000.0,13729987000000.0,10.443092,17.318552,,,1951845600000000.0,-28557491000000.0,1138401900000000.0,254040000000000.0,278.76108,0.96543413,-1.8582603,3.1682727,54.812412,24.845339,2017-02-14,31.159077843607363
31239690000000.0,13529362000000.0,7.722562,15.876005,,,2644704200000000.0,,,242429280000000.0,297.68896,0.88099825,0.032944094,0.045393955,54.82218,24.871395,2017-02-15,30.194678789659843
59093553000000.0,10746364000000.0,11.4529085,22.14669,,,1345896000000000.0,-1157062300000000.0,1077240750000000.0,208746370000000.0,324.89978,0.85762614,-0.8933948,4.822862,54.80878,25.353285,2017-02-16,14.32020829000357
52215020000000.0,8850818000000.0,,,,,1740287700000000.0,,,159110470000000.0,354.33804,0.7490479,-1.1386502,1.440157,54.637344,25.093767,2017-02-17,13.180722834922095
56889853000000.0,10067158000000.0,,,,,1471456600000000.0,,,172582420000000.0,366.58447,0.6679336,-1.1004922,1.8266522,54.519585,25.610718,2017-02-18,28.31814774018048
44719652000000.0,10191904000000.0,,,,,959639600000000.0,,,174758930000000.0,302.52036,0.73958725,-0.42468366,2.7480524,54.744316,25.661974,2017-02-19,25.361456584563705
50370785000000.0,10408694000000.0,,,9479749000000000.0,4595343000000000.0,752614800000000.0,-3239164000000000.0,973792500000000.0,196168420000000.0,296.91174,0.8170218,-0.4699191,0.7261305,54.70933,24.90449,2017-02-20,24.23530846986154
40016135000000.0,10914041000000.0,9.491726,23.735048,,,1161127800000000.0,,,185779730000000.0,331.904,0.75670177,0.24545492,0.2080736,54.54858,25.75952,2017-02-21,34.52484294151758
58870467000000.0,10296010000000.0,,,,,980121100000000.0,,,180376430000000.0,316.05008,1.1626742,0.71243554,0.38297275,54.65916,25.503618,2017-02-22,14.731058853314764
63885302000000.0,10027519000000.0,,,,,1464200900000000.0,,,182094950000000.0,383.23178,0.66910857,0.39022443,0.2780236,54.733192,25.300154,2017-02-23,5.28017204776556
47574837000000.0,10364047000000.0,,,,,3274144800000000.0,,,193183590000000.0,378.95,0.66200495,0.3492417,0.24144845,54.56775,25.106104,2017-02-24,17.357496215197706
55820480000000.0,14585242000000.0,4.400766,18.86227,1.1568717e+16,7126280600000000.0,1413651600000000.0,-1657969000000000.0,1332029100000000.0,265960830000000.0,398.20944,0.66514564,0.68340904,0.5922984,54.861572,25.332031,2017-02-25,19.67763400038971
45643340000000.0,10041859000000.0,,,,,1885691300000000.0,,,182003740000000.0,311.84262,0.7099412,0.004805505,0.0052105794,54.606808,25.387163,2017-02-26,11.301008796692923
47749580000000.0,9297748000000.0,,,,,1663768600000000.0,,,176286780000000.0,331.40005,0.6909455,-1.032646,1.2748231,54.90797,25.204092,2017-02-27,25.02233541526605
27850227000000.0,14939143000000.0,,,1.9309196e+16,8731455000000000.0,1640702600000000.0,847536000000.0,1163649600000000.0,326982440000000.0,328.3128,0.84259313,-1.045253,8.379973,54.929604,24.953817,2017-02-28,34.09752624466653
29788549000000.0,12344183000000.0,,,6480130700000000.0,4258291000000000.0,1495164700000000.0,-794692600000000.0,794904760000000.0,196649720000000.0,365.20825,0.6205866,2.1029487,0.71999353,54.746002,25.40422,2017-03-01,10.330320732744452
54150457000000.0,14200689000000.0,5.975058,20.543703,-1.5243603e+16,8.02083e+16,3312379200000000.0,8267680500000000.0,3505213300000000.0,275903280000000.0,305.94775,0.78700405,-0.9049797,60.357677,54.60139,24.802505,2017-03-02,32.1525171655776
63841480000000.0,9844865000000.0,,,,,2278642300000000.0,,,178007590000000.0,335.6276,0.6835736,-1.1970711,1.4333459,54.63988,25.01267,2017-03-03,17.96136592902983
62932117000000.0,11627186000000.0,,,-1.5423834e+16,7.321593e+16,1633624800000000.0,-926240700000000.0,1462875900000000.0,212485860000000.0,338.28906,0.81897634,3.9936633,1.2444273,54.783096,25.452187,2017-03-04,15.372875759542984
50704150000000.0,11591807000000.0,,,6102794700000000.0,4121617300000000.0,1126054100000000.0,-2020804000000000.0,817363150000000.0,184921810000000.0,334.08282,0.71651846,-0.12431848,0.15216386,54.720036,25.102459,2017-03-05,11.958596219022093
41972480000000.0,10563749000000.0,,,,,1552294500000000.0,,,203924710000000.0,328.57886,0.6933275,0.8067222,0.34092438,54.606625,25.56239,2017-03-06,20.27496801061171
61559334000000.0,10772396000000.0,,,,,1816439400000000.0,,,178385700000000.0,325.5217,0.71008515,-0.67010415,1.3214767,54.499016,25.62474,2017-03-07,30.528323371463493
57575794000000.0,11364295000000.0,8.564562,19.222921,-7781480500000000.0,2.6903e+16,2503399500000000.0,1943483000000000.0,1344868200000000.0,210637300000000.0,387.59155,0.6123917,-0.19477962,0.3378145,54.553448,24.820427,2017-03-08,33.098028128259365
60041797000000.0,10993928000000.0,,,,,1712316000000000.0,,,190767990000000.0,365.26654,0.6126829,0.42703703,0.3002941,54.7155,25.3673,2017-03-09,6.44847782543188
53401556000000.0,11966511000000.0,,,,,1887411400000000.0,,,226446450000000.0,396.39673,0.6330881,-0.24545878,0.74696267,54.66089,25.160578,2017-03-10,8.198778464652358
60139588000000.0,10596236000000.0,,,,,2187410500000000.0,,,216430350000000.0,408.4348,0.7635392,0.5810759,0.32021812,54.713867,25.189743,2017-03-11,6.496316147586219
51164062000000.0,13519082000000.0,4.737452,19.856272,,,2489317000000000.0,,,240489040000000.0,408.7491,0.62718177,1.2063214,0.5763337,54.55229,25.253855,2017-03-12,15.09330807625472
55827898000000.0,11236176000000.0,,,,,2130498500000000.0,,,195042120000000.0,383.62778,0.61659926,0.9729432,0.47800124,54.78544,25.215475,2017-03-13,11.67599529481183
24577740000000.0,13174616000000.0,7.846441,19.984577,1.4610231e+16,6965790600000000.0,2431480600000000.0,245788870000000.0,1513770900000000.0,309256000000000.0,363.561,0.62209487,-0.99642736,3.5573905,54.90878,25.023066,2017-03-14,29.625377874059122
51360540000000.0,13560685000000.0,6.412407,22.216284,,,2107176700000000.0,,,244016670000000.0,353.37286,0.9239093,-0.22410801,0.56777555,54.79796,24.7931,2017-03-15,33.573992011428054
50783333000000.0,13366568000000.0,8.416441,17.059912,,,2536582000000000.0,,,197024070000000.0,432.7119,0.5781167,0.008276311,0.0133739775,54.7951,24.816093,2017-03-16,32.08628333075491
57721005000000.0,13920077000000.0,,,3137663000000000.0,2582910400000000.0,1869079800000000.0,-688265000000000.0,1091059300000000.0,238126020000000.0,356.32166,0.6980058,-1.3536699,2.760613,54.76691,25.31454,2017-03-17,9.141320689156393
56022857000000.0,10873210000000.0,,,,,2345282500000000.0,,,191365250000000.0,412.41992,0.71207327,-0.124201566,0.3001847,54.594196,25.010336,2017-03-18,20.183860114435046
48784436000000.0,12220535000000.0,,,,,2226240600000000.0,,,228941770000000.0,409.65558,0.72084427,0.550914,0.3655423,54.463192,25.523825,2017-03-19,29.46194062063744
52403200000000.0,16119797000000.0,7.918748,19.707077,-1552655000000000.0,2493921600000000.0,1998771600000000.0,,,311549200000000.0,419.20285,0.6348416,0.74660546,0.4280741,54.67376,25.576256,2017-03-20,19.122796380844875
43875900000000.0,11589697000000.0,,,,,4233367800000000.0,,,206646660000000.0,373.57224,0.64964736,-0.42361897,6.820413,54.667942,25.609335,2017-03-21,21.30024582430968
45254678000000.0,11261824000000.0,,,,,2568941800000000.0,,,231956070000000.0,352.98224,1.3047136,-0.60891414,1.9426221,54.79741,25.828049,2017-03-22,37.269591943485665
30156953000000.0,14686623000000.0,,,1.137782e+16,6131184500000000.0,3484390200000000.0,4656106400000000.0,2103928900000000.0,284635130000000.0,376.8734,0.6118547,-0.28407797,0.72453773,54.565643,25.362785,2017-03-23,14.536179071768501
40170300000000.0,16750302000000.0,5.9972196,18.869516,8358578700000000.0,5887635700000000.0,3124129400000000.0,2585529800000000.0,1523950900000000.0,338779100000000.0,445.11493,0.6104409,-0.32245544,1.0524392,54.622063,25.168352,2017-03-24,10.18641813289464
49142410000000.0,12027056000000.0,,,,,2204701300000000.0,,,234024380000000.0,425.1271,0.7430364,-0.597792,1.5573069,54.77661,25.208532,2017-03-25,10.941687636282262
49916894000000.0,13126456000000.0,,,,,2128221800000000.0,,,258699050000000.0,345.13135,0.74100316,-0.25876972,0.97229725,54.716686,25.239046,2017-03-26,4.191998317141383
46544095000000.0,14378498000000.0,7.5069437,20.526428,1.2236189e+16,6291903000000000.0,2292147000000000.0,-50326028000000.0,1916929100000000.0,433755360000000.0,320.50613,0.7225891,-1.6535484,1.7338554,54.798206,25.424894,2017-03-27,15.466472063342152
32734200000000.0,16138787000000.0,7.1894,18.580643,-8145257000000000.0,6.194885e+16,2034975600000000.0,-792893100000000.0,1489149700000000.0,439500180000000.0,356.41653,0.75795656,-0.07056326,0.13457885,54.758743,25.019728,2017-03-28,18.493455323416185
36239965000000.0,11366412000000.0,,,,,2422581000000000.0,,,224663510000000.0,365.13986,0.7871517,0.14241908,0.1398123,54.758106,24.798231,2017-03-29,31.908782110424106
60308060000000.0,18525433000000.0,5.184783,18.37505,-5639296000000000.0,1.0188691e+16,2961748200000000.0,1153110000000000.0,1614836200000000.0,528276100000000.0,361.13638,0.835886,-2.4782336,1.3425162,54.557724,25.266212,2017-03-30,14.423235939908864
55431660000000.0,11679302000000.0,,,,,2506385300000000.0,,,192996590000000.0,351.4211,0.7354063,-0.028796166,0.043054428,54.74548,24.830873,2017-03-31,29.54705364911022
48661757000000.0,11985998000000.0,,,,,2604417400000000.0,,,239809480000000.0,349.36887,0.92046493,-0.26671374,1.2439373,54.771458,25.030436,2017-04-01,18.54544447182735
36086320000000.0,12275609000000.0,14.520082,20.481066,5520234000000000.0,3585681000000000.0,2433825400000000.0,-736838000000000.0,1930599000000000.0,292654340000000.0,350.97217,0.63479656,-1.8577651,1.5660347,54.597996,25.249825,2017-04-02,10.103590548062073
53995930000000.0,14626335000000.0,,,-1.6922171e+16,4.927682e+16,2814325000000000.0,454514550000000.0,1104271800000000.0,330125700000000.0,388.98828,0.68290055,-0.5966641,11.439015,54.821106,25.162254,2017-04-03,16.688297876430415
,20256865000000.0,6.3937407,17.445223,6685725400000000.0,4506028000000000.0,3768385200000000.0,3144490500000000.0,2384610400000000.0,682570300000000.0,327.74268,0.85291195,-1.0123893,2.0944433,54.701267,25.58795,2017-04-04,19.87101140626236
32690661000000.0,17467445000000.0,9.796627,19.341156,4167614000000000.0,2995214000000000.0,2748364000000000.0,786861600000000.0,2484317500000000.0,495306470000000.0,345.71152,0.7951575,0.09270425,0.10878104,54.582905,25.629402,2017-04-05,25.318182126027107
50927430000000.0,13361576000000.0,,,4445080000000000.0,3056306800000000.0,2648071000000000.0,496652130000000.0,1198268800000000.0,223509810000000.0,388.36896,0.6281189,0.41421744,0.393571,54.6261,24.798883,2017-04-06,31.665192353406162
30806616000000.0,15051497000000.0,5.201604,20.217731,2.908045e+16,9416483000000000.0,3549108400000000.0,,,313991670000000.0,372.67752,0.67929006,0.36854428,0.3459293,54.7694,25.391573,2017-04-07,11.625160095233607
62523000000000.0,13359544000000.0,,,,,2544798700000000.0,,,254572270000000.0,343.3806,0.87024754,-0.7648804,0.6728643,54.704952,25.167398,2017-04-08,7.481734674125253
55672990000000.0,12459062000000.0,,,,,2266212700000000.0,,,276969840000000.0,309.40683,0.8355676,0.1732601,0.16391766,54.747066,25.18205,2017-04-09,9.14597197701407
20141784000000.0,18035834000000.0,9.576498,18.25832,3.370017e+16,9710399000000000.0,2562442700000000.0,-991096800000000.0,2192006400000000.0,514430780000000.0,308.7896,0.8458305,-0.939249,2.048794,54.57454,25.230076,2017-04-10,12.92799091227151
27940333000000.0,11568441000000.0,5.5645337,20.016771,,,2593139700000000.0,,,221639940000000.0,370.72104,0.78081137,0.5777041,0.40649584,54.791264,25.206772,2017-04-11,12.48250426263161
28987745000000.0,14728744000000.0,6.306157,18.460545,,,2337140500000000.0,,,370691550000000.0,386.9716,0.7118341,0.5361958,0.52753854,54.9077,24.98924,2017-04-12,30.786436871567112
62545314000000.0,14228940000000.0,7.644676,18.520042,,,2652874600000000.0,,,294389600000000.0,391.147,0.8298286,0.29044834,0.27551016,54.78316,24.757963,2017-04-13,35.153459926686324
52209614000000.0,15172660000000.0,7.2714286,17.711922,,,3238437300000000.0,,,324946620000000.0,394.70105,0.78614974,-1.0253018,0.79400545,54.767834,24.77648,2017-04-14,33.533195350915946
71356494000000.0,15420353000000.0,4.891324,18.590311,-8642540400000000.0,1.4479546e+16,2834584500000000.0,428773200000000.0,1191522800000000.0,266690730000000.0,393.65598,0.68042725,0.933992,0.621667,54.72722,25.271492,2017-04-15,4.481154125223007
57637308000000.0,12018942000000.0,,,,,2909614900000000.0,,,209609820000000.0,382.64273,0.77943826,-0.16832234,0.78678066,54.810894,25.143204,2017-04-16,16.30682366173381
58382266000000.0,13881529000000.0,,,,,2975032300000000.0,,,228353830000000.0,417.70172,0.82695,-0.20562547,2.4756083,54.728703,25.717852,2017-04-17,28.52362331831685
34579522000000.0,16157572000000.0,3.184765,19.136848,,,3407374000000000.0,,,285776020000000.0,420.81122,0.79006267,-0.4893681,1.5836192,54.59937,25.501032,2017-04-18,17.268476711726795
54928484000000.0,14684230000000.0,,,,,2992384000000000.0,,,268645520000000.0,409.3045,0.764949,-0.23545197,7.678131,54.578365,25.544313,2017-04-19,20.892679164554117
57852850000000.0,16586543000000.0,3.596763,18.095732,241319010000000.0,205473160000000.0,3670556600000000.0,2839965000000000.0,2161053900000000.0,411071300000000.0,432.13162,0.6202639,1.6071893,0.7248806,54.696568,25.753637,2017-04-20,30.476585456843612
48947226000000.0,12251931000000.0,,,,,2831112800000000.0,,,229380230000000.0,342.28864,0.86601406,0.35933337,0.23944736,54.774998,25.548208,2017-04-21,19.812040644996028
47589000000000.0,14384694000000.0,3.8490849,20.698164,,,3211118600000000.0,,,289337300000000.0,408.40436,0.67599386,-0.06501449,0.1929735,54.829227,25.31222,2017-04-22,15.929926210078612
56746425000000.0,18032672000000.0,3.0818622,20.160099,,,3390933300000000.0,,,412282000000000.0,399.92255,0.6685436,-0.14189732,0.5864975,54.6405,25.09731,2017-04-23,12.827905875716448
55481170000000.0,13653443000000.0,6.0530057,16.972633,,,3154131600000000.0,,,275638890000000.0,403.18005,0.77617866,0.036677007,0.07189417,54.56541,25.138739,2017-04-24,16.30129828436134
40887023000000.0,14700755000000.0,,,,,3880210400000000.0,,,301435100000000.0,379.44424,0.73838764,-0.07016085,0.19178401,54.63151,25.345295,2017-04-25,7.493095523534577
43628462000000.0,14436026000000.0,,,,,3237119800000000.0,,,258404090000000.0,380.06415,1.0415863,-0.7605729,1.0876555,54.91126,25.146202,2017-04-26,26.34281528788221
42096990000000.0,14595396000000.0,,,,,3892588700000000.0,,,284022260000000.0,376.02322,1.3599288,-0.83374834,0.7391793,54.905613,24.890747,2017-04-27,34.80606142395375
42655650000000.0,14061405000000.0,,,2505881200000000.0,1314448800000000.0,3077099300000000.0,-1054741800000000.0,1057951900000000.0,277863350000000.0,374.0487,0.6865808,-0.062063925,0.14458334,54.699913,25.317184,2017-04-28,2.7930584751196834
37131570000000.0,13659810000000.0,,,,,3452635000000000.0,,,253910460000000.0,354.02246,0.7548178,-0.3367325,1.2534974,54.876366,24.86004,2017-04-29,34.15590621838099
70165290000000.0,14197246000000.0,6.33873,18.284483,,,4242028300000000.0,,,263439740000000.0,369.80725,0.7328443,-0.7965189,1.0066705,54.890594,25.036299,2017-04-30,27.477757950578148
40784443000000.0,12787347000000.0,,,,,3644480000000000.0,,,246747580000000.0,378.0146,0.72319645,-0.7257501,1.5196494,54.70508,25.22292,2017-05-01,4.155247221311916
